
The orders to be produced: 161
  OrderId      pcId      qty      profitRate      totalProfit       discount
      202         9       11             %52         12870.00        1029.60
      203        13       10             %46         13110.00        1242.00
      204         0       26             %49         26117.00        2293.20
      205         9        2             %30          1350.00         108.00
      206         9       26             %32         18720.00        1497.60
      207         9        4             %52          4680.00         374.40
      208         2       16             %26          9360.00         748.80
      209        15       28             %37         31598.00        2797.20
      210         0        5             %47          4817.50         423.00
      211         7       31             %71         67130.50        5942.70
      212         7       18             %54         29646.00        2624.40
      213        11       21             %30         15435.00        1134.00
      214         7       22             %59         39589.00        3504.60
      215         3        6             %46          6762.00         496.80
      216         0       11             %29          6539.50         574.20
      217        10       11             %68         16830.00        1346.40
      218         6       30             %35         29925.00        2835.00
      219         4       17             %54         24327.00        2478.60
      220         1       22             %53         26235.00        2098.80
      221         5       13             %35         12967.50        1228.50
      222        14        1             %52          1482.00         140.40
      223         1       18             %45         18225.00        1458.00
      224         1       11             %36          8910.00         712.80
      225        14       25             %30         21375.00        2025.00
      226         7       13             %57         22600.50        2000.70
      227         4       16             %59         25016.00        2548.80
      228         1       17             %59         22567.50        1805.40
      229        13        5             %32          4560.00         432.00
      230        11        2             %67          3283.00         241.20
      231        12       12             %34         10812.00        1101.60
      232         9       26             %44         25740.00        2059.20
      233        12       19             %49         24671.50        2513.70
      234         3       24             %64         37632.00        2764.80
      235         8        5             %53          5432.50         477.00
      236         9        8             %69         12420.00         993.60
      237         1        8             %74         13320.00        1065.60
      238         1        6             %35          4725.00         378.00
      239         2       20             %40         18000.00        1440.00
      240        15       25             %68         51850.00        4590.00
      241        11       31             %66         50127.00        3682.80
      242        14       14             %38         15162.00        1436.40
      243        10       28             %29         18270.00        1461.60
      244         4        1             %58          1537.00         156.60
      245         0        7             %71         10188.50         894.60
      246         5       13             %26          9633.00         912.60
      247         4       28             %30         22260.00        2268.00
      248        13        2             %47          2679.00         253.80
      249         6       12             %74         25308.00        2397.60
      250        15       21             %73         46756.50        4139.10
      251         3       15             %58         21315.00        1566.00
      252        15        2             %39          2379.00         210.60
      253         0       25             %34         17425.00        1530.00
      254         1       21             %30         14175.00        1134.00
      255         7        6             %43          7869.00         696.60
      256         2       31             %60         41850.00        3348.00
      257        11       29             %65         46182.50        3393.00
      258         3       14             %58         19894.00        1461.60
      259         5       24             %43         29412.00        2786.40
      260         9        7             %41          6457.50         516.60
Total amount of Cycles: 905

The orders to be cancelled: 0

Total Profit: $3621868.50 (total penalty = $0.00, total discount = $290676.56)
Total Production Cycles: 905
